mean_diff	conf_int_upper	conf_int_lower	stderr	pval	subtype	cell_state
-8.038305424220386	0.6200635064539095	-16.696674354894682	4.122159766996542	0.06687380460538725	CD4_CXCL13	exhausted
-1.3024135692421481	9.518381645603249	-12.123208784087547	5.253217535732265	0.806221936286702	CD4_KLRB1	others
-2.7472609505653125	14.590835157308115	-20.085357058438742	8.402614788286309	0.7465254226386386	CD8_ANXA1	cytotoxic
-21.839537173006306	-2.4849157934796895	-41.194158552532926	9.397303277974139	0.028549670454408108	CD8_CCL5	cytotoxic
-23.859467979863446	7.776292482919997	-55.49522844264689	13.960152860366582	0.12199110420766916	CD8_CD74	others
22.44379899738575	40.82536691646155	4.062231078309952	8.879901591097829	0.018910338896996316	CD8_CX3CR1	cytotoxic
-46.06631405856281	-21.829022854656717	-70.3036052624689	11.714608532187846	6.680913771375259e-4	CD8_CXCL13	exhausted
-4.639288452034581	7.8376493609909215	-17.116226265060085	6.069032447864364	0.45152050718512327	CD8_FOS	cytotoxic
-6.843517269802046	8.59046250082204	-22.27749704042613	7.485933528078863	0.36953507277930275	CD8_GZMK	cytotoxic
-21.736601150736607	5.945466033188414	-49.418668334661625	10.063124883841175	0.09527339534850428	CD8_IFIT1	others
-30.692820549268973	1.0717207667818631	-62.4573618653198	14.877066207287273	0.05722011715515717	CD8_KLRB1	cytotoxic
-42.84626746467075	-10.445235298373849	-75.24729963096765	14.051117809601948	0.015834533484790785	CD8_TYMS	exhausted
0.6860202939809757	1.6139603149856434	-0.24191972702369213	0.4397141342464868	0.13720373539340844	T_IL7R	others
-11.890345829386705	3.838489757674084	-27.619181416447496	7.606668362621969	0.1315685332197543	T_Mito	dying
-33.051267450607114	0.5150073891075243	-66.61754229032174	14.44281596638881	0.05280836913908404	T_MKI67	exhausted
-11.461621655945809	5.727177422791514	-28.65042073468313	8.308499332827415	0.18102376336694972	T_Ribo	others
-0.9885275934428774	0.2581387393850691	-2.235193926270824	0.5796203348957716	0.11084056743236737	Treg_LTB	others
-2.504568002424659	1.1085100512049295	-6.117646056054247	1.6442741935410023	0.15555206841387906	Treg_TNFRSF4	exhausted
