patient	macrotype	cell_type	cell_count	total_epithelial_cells	percent_in_patient
P50	Epi_Normal	Epi_A_MGP	7	1215	0.5761316872427984
P50	Epi_Normal	Epi_N_PIGR	1	1215	0.0823045267489712
P50	Mixture	Epi_T_Mix	248	1215	20.411522633744855
P50	Tumor_Gp1	Epi_M_CALML3	879	1215	72.34567901234568
P50	Tumor_Gp2	Epi_M_SPRR3	26	1215	2.139917695473251
P51	Epi_Normal	Epi_A_IL1R2	264	598	44.147157190635454
P51	Epi_Normal	Epi_A_MGP	16	598	2.6755852842809364
P51	Mixture	Epi_T_Mix	80	598	13.377926421404682
P51	Tumor_Gp1	Epi_M_CALML3	238	598	39.79933110367893
P52	Epi_Normal	Epi_A_IL1R2	7	1262	0.554675118858954
P52	Epi_Normal	Epi_A_MGP	7	1262	0.554675118858954
P52	Epi_Normal	Epi_N_PIGR	22	1262	1.7432646592709984
P52	Mixture	Epi_B_Mix	527	1262	41.759112519809825
P52	Mixture	Epi_T_Mix	75	1262	5.942947702060222
P52	Tumor_Gp1	Epi_M_CALML3	622	1262	49.28684627575277
P52	Tumor_Gp2	Epi_M_SPRR3	2	1262	0.15847860538827258
