cell_label	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
Mixture: Epi_T_Mix	pct	R-post	NR-post	19	13	103	0.4426834102709601	Wilcoxon rank-sum test	100	0	100	4	144	2	4	0.5902445470279467	5.90e-01	BH	two.sided	FALSE
Tumor_Gp1: Epi_M_CALML3	pct	R-pre	R-post	22	19	407	2.412000611190965e-7	Wilcoxon rank-sum test	94.03254972875226	0	94.03254972875226	1	101.55515370705244	1	2	9.64800244476386e-7	9.65e-07	BH	two.sided	FALSE
Tumor_Gp1: Epi_M_CALML3	pct	NR-pre	NR-post	16	13	108	0.8780156974718117	Wilcoxon rank-sum test	94.03254972875226	0	94.03254972875226	2	112.8390596745027	3	4	0.8780156974718117	8.78e-01	BH	two.sided	FALSE
Tumor_Gp1: Epi_M_CALML3	pct	R-pre	NR-pre	22	16	272	0.004749995264005428	Wilcoxon rank-sum test	94.03254972875226	0	94.03254972875226	3	124.12296564195299	1	3	0.009499990528010855	9.50e-03	BH	two.sided	FALSE
Tumor_Gp1: Epi_M_CALML3	pct	R-post	NR-post	19	13	67.5	0.033051533015645805	Wilcoxon rank-sum test	94.03254972875226	0	94.03254972875226	4	135.40687160940325	2	4	0.04406871068752774	4.41e-02	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_CPS1	pct	R-pre	R-post	22	19	209	NA	Wilcoxon rank-sum test	99.93523316062176	0	99.93523316062176	1	107.93005181347151	1	2	NA	NaN	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_CPS1	pct	NR-pre	NR-post	16	13	110.5	0.40538055645894233	Wilcoxon rank-sum test	99.93523316062176	0	99.93523316062176	2	119.92227979274611	3	4	0.40538055645894233	4.05e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_CPS1	pct	R-pre	NR-pre	22	16	165	0.26301057192685684	Wilcoxon rank-sum test	99.93523316062176	0	99.93523316062176	3	131.91450777202073	1	3	0.40538055645894233	4.05e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_CPS1	pct	R-post	NR-post	19	13	123.5	NA	Wilcoxon rank-sum test	99.93523316062176	0	99.93523316062176	4	143.90673575129534	2	4	NA	NaN	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_MYBPC1	pct	R-pre	R-post	22	19	218.5	0.3786379026593537	Wilcoxon rank-sum test	97.26027397260276	0	97.26027397260276	1	105.04109589041099	1	2	0.3786379026593537	3.79e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_MYBPC1	pct	NR-pre	NR-post	16	13	120	0.3018973357914645	Wilcoxon rank-sum test	97.26027397260276	0	97.26027397260276	2	116.71232876712331	3	4	0.3786379026593537	3.79e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_MYBPC1	pct	R-pre	NR-pre	22	16	141	0.08255958054656941	Wilcoxon rank-sum test	97.26027397260276	0	97.26027397260276	3	128.38356164383563	1	3	0.33023832218627763	3.30e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_MYBPC1	pct	R-post	NR-post	19	13	114	0.25207969939310837	Wilcoxon rank-sum test	97.26027397260276	0	97.26027397260276	4	140.05479452054797	2	4	0.3786379026593537	3.79e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_PKP2	pct	R-pre	R-post	22	19	209	NA	Wilcoxon rank-sum test	73.9612188365651	0	73.9612188365651	1	79.8781163434903	1	2	NA	NaN	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_PKP2	pct	NR-pre	NR-post	16	13	103	0.9602045702479433	Wilcoxon rank-sum test	73.9612188365651	0	73.9612188365651	2	88.75346260387812	3	4	0.9602045702479433	9.60e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_PKP2	pct	R-pre	NR-pre	22	16	165	0.26301057192685684	Wilcoxon rank-sum test	73.9612188365651	0	73.9612188365651	3	97.62880886426592	1	3	0.39451585789028526	3.95e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_PKP2	pct	R-post	NR-post	19	13	114	0.25207969939310837	Wilcoxon rank-sum test	73.9612188365651	0	73.9612188365651	4	106.50415512465374	2	4	0.39451585789028526	3.95e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_RNASE1	pct	R-pre	R-post	22	19	218.5	0.3786379026593537	Wilcoxon rank-sum test	84.88023952095809	0	84.88023952095809	1	91.67065868263474	1	2	0.5048505368791383	5.05e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_RNASE1	pct	NR-pre	NR-post	16	13	110	0.6482682023645612	Wilcoxon rank-sum test	84.88023952095809	0	84.88023952095809	2	101.8562874251497	3	4	0.6482682023645612	6.48e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_RNASE1	pct	R-pre	NR-pre	22	16	161	0.35933228268131484	Wilcoxon rank-sum test	84.88023952095809	0	84.88023952095809	3	112.04191616766468	1	3	0.5048505368791383	5.05e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_RNASE1	pct	R-post	NR-post	19	13	114	0.25207969939310837	Wilcoxon rank-sum test	84.88023952095809	0	84.88023952095809	4	122.22754491017965	2	4	0.5048505368791383	5.05e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_SPRR3	pct	R-pre	R-post	22	19	304	0.01130268365543592	Wilcoxon rank-sum test	66.95747001090513	0	66.95747001090513	1	72.31406761177753	1	2	0.04521073462174368	4.52e-02	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_SPRR3	pct	NR-pre	NR-post	16	13	105.5	0.9637213820830152	Wilcoxon rank-sum test	66.95747001090513	0	66.95747001090513	2	80.34896401308615	3	4	0.9637213820830152	9.64e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_SPRR3	pct	R-pre	NR-pre	22	16	234	0.08702659895729463	Wilcoxon rank-sum test	66.95747001090513	0	66.95747001090513	3	88.38386041439477	1	3	0.17405319791458926	1.74e-01	BH	two.sided	FALSE
Tumor_Gp2: Epi_M_SPRR3	pct	R-post	NR-post	19	13	99.5	0.32008269083816965	Wilcoxon rank-sum test	66.95747001090513	0	66.95747001090513	4	96.41875681570338	2	4	0.4267769211175595	4.27e-01	BH	two.sided	FALSE
