subtype	response_group	cell_count
Mye_B_Mix	unknown	99
Mye_CCL19	NR	1050
Mye_CCL19	R	1224
Mye_CCL19	unknown	661
Mye_CLEC10A	NR	3832
Mye_CLEC10A	R	5674
Mye_CLEC10A	unknown	1477
Mye_CLEC9A	NR	531
Mye_CLEC9A	R	623
Mye_CLEC9A	unknown	164
Mye_EGR1	NR	956
Mye_EGR1	R	914
Mye_EGR1	unknown	174
Mye_FCN1	NR	6556
Mye_FCN1	R	10467
Mye_FCN1	unknown	4202
Mye_LILRA4	NR	1221
Mye_LILRA4	R	1437
Mye_LILRA4	unknown	736
Mye_MKI67	NR	1195
Mye_MKI67	R	1197
Mye_MKI67	unknown	228
Mye_Mito	NR	1088
Mye_Mito	R	1486
Mye_Mito	unknown	512
Mye_S100A8	NR	1542
Mye_S100A8	R	2094
Mye_S100A8	unknown	625
Mye_T_Mix	NR	5148
Mye_T_Mix	R	5244
Mye_T_Mix	unknown	2476
NK	NR	4232
NK	R	6306
NK	unknown	2454
NK_CX3CR1	NR	2021
NK_CX3CR1	R	2147
NK_CX3CR1	unknown	1217
Plasma_CPA3	NR	629
Plasma_CPA3	R	280
Plasma_CPA3	unknown	108
Plasma_CXCL8	NR	1473
Plasma_CXCL8	R	1346
Plasma_CXCL8	unknown	606
Plasma_DCN	NR	1031
Plasma_DCN	R	1009
Plasma_DCN	unknown	180
Plasma_IGHG1	NR	2001
Plasma_IGHG1	R	2866
Plasma_IGHG1	unknown	1166
Plasma_IGKC	NR	4559
Plasma_IGKC	R	6160
Plasma_IGKC	unknown	2334
Plasma_RRM2	NR	937
Plasma_RRM2	R	1541
Plasma_RRM2	unknown	382
Plasma_S100A6	NR	1415
Plasma_S100A6	R	758
Plasma_S100A6	unknown	261
Plasma_SSR4	NR	6642
Plasma_SSR4	R	9579
Plasma_SSR4	unknown	3442
T_IL7R	NR	9239
T_IL7R	R	13788
T_IL7R	unknown	4215
T_MKI67	NR	5167
T_MKI67	R	4215
T_MKI67	unknown	1683
T_Mito	NR	6488
T_Mito	R	7971
T_Mito	unknown	1642
T_Ribo	NR	3064
T_Ribo	R	3958
T_Ribo	unknown	1080
Treg_LTB	NR	5916
Treg_LTB	R	7148
Treg_LTB	unknown	2618
Treg_TNFRSF4	NR	11544
Treg_TNFRSF4	R	13212
Treg_TNFRSF4	unknown	5889
