patient	mandard_group	sample_type	cellgp	gene	logcpm	response
P02	NA	Baseline	other CD8	CXCR3	4.7457532713186685	NA
P02	NA	Baseline	other CD8	CXCR4	7.602896375645742	NA
P02	NA	Baseline	other CD8	CXCR1	0	NA
P02	NA	Baseline	other CD8	CXCR2	1.0335485938631526	NA
P02	NA	Baseline	exhausted CD8	ACKR3	0.5168308304305107	NA
P02	NA	Baseline	Treg	CCR6	5.795800809023447	NA
P02	NA	Baseline	Treg	CXCR1	0	NA
P02	NA	Baseline	other CD8	ACKR3	0	NA
P02	NA	Baseline	Treg	CCR5	3.4608343776717225	NA
P02	NA	Baseline	exhausted CD8	CCR2	0.5944568961055332	NA
P02	NA	Baseline	exhausted CD8	CCR5	4.071678021433447	NA
P02	NA	Baseline	exhausted CD8	CCR6	2.9373096287353175	NA
P02	NA	Baseline	other CD8	CCR6	4.045534558095203	NA
P02	NA	Baseline	exhausted CD8	CCR4	1.8153069502272585	NA
P03	poor	Treat	exhausted CD8	CCR6	3.617456421791557	NR
P03	poor	Baseline	Treg	CCR6	4.713520775838385	NR
P03	poor	Treat	NK	CXCR3	4.200959607830632	NR
P03	poor	Treat	exhausted CD8	CCR4	3.8473711831374025	NR
P03	poor	Treat	other CD8	CX3CR1	0	NR
P03	poor	Baseline	NK	CCR2	0	NR
P03	poor	Treat	exhausted CD8	CXCR3	4.297087222743827	NR
P03	poor	Baseline	Treg	CCR4	4.3363106610103745	NR
P03	poor	Treat	exhausted CD8	CCR5	2.9207428665282555	NR
P03	poor	Baseline	NK	ACKR3	0	NR
P03	poor	Treat	exhausted CD8	CXCR1	0	NR
P03	poor	Baseline	NK	CCR4	2.9720667463774713	NR
P03	poor	Treat	exhausted CD8	CXCR2	0	NR
P03	poor	Baseline	cytotoxic CD8	CCR2	1.9119196738870752	NR
P03	poor	Baseline	Treg	CXCR1	0	NR
P03	poor	Treat	exhausted CD8	CCR2	0.44871133658690177	NR
P03	poor	Treat	other CD8	CXCR2	0	NR
P03	poor	Treat	other CD8	CXCR3	4.857829653962201	NR
P03	poor	Baseline	NK	CCR6	0	NR
P03	poor	Treat	NK	CXCR2	2.5205025526430562	NR
P03	poor	Treat	NK	CXCR4	8.236779921365573	NR
P03	poor	Baseline	Treg	CCR5	3.015290537110675	NR
P03	poor	Treat	NK	CXCR1	1.3503332065611817	NR
P03	poor	Baseline	exhausted CD8	CCR5	3.6665134532545385	NR
P03	poor	Baseline	Treg	CXCR2	0	NR
P03	poor	Baseline	NK	CCR5	0	NR
P03	poor	Treat	Treg	CCR5	2.6301674967519437	NR
P03	poor	Baseline	Treg	CXCR4	6.072160728257188	NR
P03	poor	Baseline	NK	CXCR1	0	NR
P03	poor	Baseline	NK	CXCR2	0	NR
P03	poor	Baseline	NK	CXCR3	4.539684342054114	NR
P03	poor	Baseline	NK	CXCR4	6.808347687328937	NR
P03	poor	Baseline	cytotoxic CD8	CXCR4	7.4247634832746385	NR
P03	poor	Baseline	cytotoxic CD8	ACKR3	0	NR
P03	poor	Treat	NK	ACKR3	0	NR
P03	poor	Treat	NK	CX3CR1	3.172609391034027	NR
P03	poor	Treat	other CD8	ACKR3	1.1077999976123325	NR
P03	poor	Baseline	exhausted CD8	CCR6	2.640965855232966	NR
P03	poor	Baseline	cytotoxic CD8	CCR4	3.0531152904417893	NR
P03	poor	Treat	exhausted CD8	CXCR4	7.686863203792797	NR
P03	poor	Treat	other CD8	CCR2	2.2094561925310514	NR
P03	poor	Baseline	Treg	ACKR3	0.7311656646144412	NR
P03	poor	Baseline	Treg	CX3CR1	1.148989044989109	NR
P03	poor	Treat	NK	CCR5	1.3503332065611817	NR
P03	poor	Treat	NK	CCR6	3.7141074087727843	NR
P03	poor	Treat	Treg	CX3CR1	0.7512558587908664	NR
P03	poor	Treat	cytotoxic CD8	CX3CR1	1.2684022039678502	NR
P03	poor	Treat	cytotoxic CD8	CCR2	1.483169252240958	NR
P03	poor	Treat	Treg	CCR4	4.7320306889687	NR
P03	poor	Baseline	Treg	CCR2	0.43097067992715143	NR
P03	poor	Treat	cytotoxic CD8	CCR4	4.016567542512475	NR
P03	poor	Baseline	exhausted CD8	CXCR1	0	NR
P03	poor	Baseline	Treg	CXCR3	5.114372790995461	NR
P03	poor	Treat	cytotoxic CD8	CCR6	2.878698405346221	NR
P03	poor	Treat	exhausted CD8	ACKR3	0	NR
P03	poor	Treat	exhausted CD8	CX3CR1	0	NR
P03	poor	Baseline	cytotoxic CD8	CXCR1	0.27788696403282487	NR
P03	poor	Baseline	cytotoxic CD8	CXCR2	0.6734600697033147	NR
P03	poor	Baseline	cytotoxic CD8	CXCR3	5.016734585029548	NR
P03	poor	Baseline	exhausted CD8	CX3CR1	0.3937109864858013	NR
P03	poor	Treat	cytotoxic CD8	ACKR3	0.8494759657969433	NR
P03	poor	Treat	other CD8	CXCR4	8.33175704521487	NR
P03	poor	Treat	other CD8	CXCR1	0	NR
P03	poor	Treat	Treg	CCR2	1.7981509218553862	NR
P03	poor	Treat	cytotoxic CD8	CCR5	3.646861866535221	NR
P03	poor	Treat	Treg	CCR6	5.515221231865434	NR
P03	poor	Baseline	cytotoxic CD8	CX3CR1	2.2331021575313224	NR
P03	poor	Treat	other CD8	CCR4	4.479501241661133	NR
P03	poor	Treat	other CD8	CCR5	2.8461598279691285	NR
P03	poor	Treat	other CD8	CCR6	4.456240685603943	NR
P03	poor	Baseline	exhausted CD8	CCR2	0	NR
P03	poor	Treat	Treg	ACKR3	0.7512558587908664	NR
P03	poor	Baseline	exhausted CD8	ACKR3	0	NR
P03	poor	Treat	Treg	CXCR4	7.683671246138307	NR
P03	poor	Baseline	cytotoxic CD8	CCR6	2.391552036905048	NR
P03	poor	Treat	NK	CCR2	0	NR
P03	poor	Treat	Treg	CXCR1	0	NR
P03	poor	Baseline	NK	CX3CR1	3.293803116059125	NR
P03	poor	Treat	cytotoxic CD8	CXCR3	4.736511970816613	NR
P03	poor	Treat	cytotoxic CD8	CXCR4	8.630105494126918	NR
P03	poor	Treat	NK	CCR4	2.727431518861069	NR
P03	poor	Baseline	cytotoxic CD8	CCR5	3.9122540249647377	NR
P03	poor	Treat	Treg	CXCR2	0	NR
P03	poor	Treat	Treg	CXCR3	5.092466672570325	NR
P03	poor	Baseline	exhausted CD8	CXCR3	4.529041408708963	NR
P03	poor	Treat	cytotoxic CD8	CXCR2	0.2178087820697965	NR
P03	poor	Treat	cytotoxic CD8	CXCR1	0.2178087820697965	NR
P03	poor	Baseline	exhausted CD8	CXCR2	0	NR
P03	poor	Baseline	exhausted CD8	CCR4	2.674784096071613	NR
P03	poor	Baseline	exhausted CD8	CXCR4	5.884649418459944	NR
P04	poor	Baseline	Treg	CCR2	1.1125082918973974	NR
P04	poor	Baseline	NK	CXCR1	0	NR
P04	poor	Treat	exhausted CD8	CX3CR1	0	NR
P04	poor	Baseline	exhausted CD8	CCR5	3.887527254477262	NR
P04	poor	Baseline	NK	CCR2	0	NR
P04	poor	Baseline	NK	CCR6	2.477698534790947	NR
P04	poor	Treat	cytotoxic CD8	CX3CR1	0.9531302460561346	NR
P04	poor	Baseline	other CD8	ACKR3	0	NR
P04	poor	Baseline	NK	ACKR3	0	NR
P04	poor	Baseline	NK	CCR4	0	NR
P04	poor	Baseline	NK	CCR5	0	NR
P04	poor	Baseline	NK	CX3CR1	3.621119181048474	NR
P04	poor	Treat	exhausted CD8	ACKR3	0.24272979647227982	NR
P04	poor	Treat	cytotoxic CD8	CXCR4	8.210539734974475	NR
P04	poor	Treat	other CD8	CCR2	0	NR
P04	poor	Baseline	cytotoxic CD8	ACKR3	0.6232999168234739	NR
P04	poor	Baseline	Treg	CCR6	6.053809178058724	NR
P04	poor	Baseline	cytotoxic CD8	CXCR3	5.253926229466412	NR
P04	poor	Baseline	cytotoxic CD8	CXCR4	8.391054509588939	NR
P04	poor	Baseline	NK	CXCR3	5.2286179853783965	NR
P04	poor	Baseline	NK	CXCR4	7.890300458024876	NR
P04	poor	Treat	cytotoxic CD8	CXCR3	4.904389681888256	NR
P04	poor	Treat	exhausted CD8	CXCR2	0	NR
P04	poor	Baseline	Treg	CXCR4	6.951246927188415	NR
P04	poor	Treat	exhausted CD8	CXCR3	4.506013392880089	NR
P04	poor	Baseline	Treg	CX3CR1	1.6260900938013108	NR
P04	poor	Treat	other CD8	CCR4	3.2855670665971384	NR
P04	poor	Baseline	other CD8	CX3CR1	0	NR
P04	poor	Treat	Treg	CXCR3	5.016107059421182	NR
P04	poor	Baseline	Treg	CCR5	3.183970820228072	NR
P04	poor	Baseline	Treg	CXCR1	0	NR
P04	poor	Baseline	NK	CXCR2	1.5342698431629875	NR
P04	poor	Treat	cytotoxic CD8	CXCR1	0.14788678090782645	NR
P04	poor	Treat	cytotoxic CD8	CXCR2	0.14788678090782645	NR
P04	poor	Baseline	cytotoxic CD8	CCR4	3.253116228573423	NR
P04	poor	Baseline	Treg	CXCR3	4.608926238643309	NR
P04	poor	Treat	exhausted CD8	CXCR1	0	NR
P04	poor	Baseline	other CD8	CCR6	2.9481508325493024	NR
P04	poor	Treat	exhausted CD8	CXCR4	7.502327907229257	NR
P04	poor	Baseline	cytotoxic CD8	CXCR2	0.19578725312458678	NR
P04	poor	Baseline	exhausted CD8	CCR4	2.502257050876287	NR
P04	poor	Baseline	other CD8	CXCR3	4.638608690378149	NR
P04	poor	Baseline	Treg	CCR4	4.93082160935803	NR
P04	poor	Treat	cytotoxic CD8	CCR5	3.227875484932343	NR
P04	poor	Treat	cytotoxic CD8	CCR6	2.7097542804753707	NR
P04	poor	Baseline	exhausted CD8	CXCR2	0	NR
P04	poor	Baseline	other CD8	CCR2	0	NR
P04	poor	Baseline	Treg	CXCR2	0	NR
P04	poor	Treat	exhausted CD8	CCR6	2.876845843747989	NR
P04	poor	Baseline	other CD8	CCR5	3.895658163042501	NR
P04	poor	Treat	NK	CCR2	1.7983312527303017	NR
P04	poor	Baseline	Treg	ACKR3	1.751738833545776	NR
P04	poor	Treat	cytotoxic CD8	ACKR3	0.6710496939656334	NR
P04	poor	Baseline	other CD8	CXCR4	8.277508464529744	NR
P04	poor	Baseline	exhausted CD8	CX3CR1	0	NR
P04	poor	Treat	other CD8	CXCR1	0	NR
P04	poor	Baseline	exhausted CD8	CCR6	3.2264489341456364	NR
P04	poor	Baseline	exhausted CD8	CXCR1	0	NR
P04	poor	Treat	other CD8	CXCR3	4.310765927629412	NR
P04	poor	Treat	cytotoxic CD8	CCR2	1.172897762044376	NR
P04	poor	Treat	Treg	CX3CR1	0.9989874036845637	NR
P04	poor	Baseline	other CD8	CCR4	3.4377787315320583	NR
P04	poor	Treat	exhausted CD8	CCR2	0.24272979647227982	NR
P04	poor	Treat	exhausted CD8	CCR4	2.460805329120612	NR
P04	poor	Baseline	cytotoxic CD8	CCR5	4.119932282348272	NR
P04	poor	Baseline	cytotoxic CD8	CCR6	2.63734781450583	NR
P04	poor	Baseline	exhausted CD8	CCR2	0	NR
