cell_group	gene	cells_in_group	mean_expression	positive_cells	percent_expressed
NK_CX3CR1	CD8B	5385	0.062313608	191	3.5468895
NK_CX3CR1	FOXP3	5385	0.0033255338	12	0.22284123
NK_CX3CR1	IKZF2	5385	0.10939558	365	6.7780873
NK_CX3CR1	CCR7	5385	0.027144511	89	1.6527391
NK_CX3CR1	SELL	5385	0.20403614	637	11.829155
NK_CX3CR1	TCF7	5385	0.085131833	291	5.4038997
NK_CX3CR1	IL7R	5385	0.096186529	249	4.6239554
NK_CX3CR1	PDCD1	5385	0.010606763	35	0.64995357
NK_CX3CR1	HAVCR2	5385	0.49518913	1560	28.969359
NK_CX3CR1	ENTPD1	5385	0.023819236	76	1.4113278
NK_CX3CR1	TNFRSF9	5385	0.12490517	383	7.1123491
NK_CX3CR1	CXCL13	5385	0.0038807024	14	0.25998143
NK_CX3CR1	CST7	5385	3.0918574	5246	97.418756
NK_CX3CR1	GZMH	5385	2.0742387	4470	83.008357
NK_CX3CR1	GZMK	5385	0.11968898	334	6.2024141
NK_CX3CR1	GZMM	5385	1.1352042	3195	59.331476
NK_CX3CR1	IFNG	5385	0.63997887	1535	28.505107
NK_CX3CR1	PRF1	5385	2.6673466	4961	92.126277
NK_CX3CR1	KLRG1	5385	0.25362407	828	15.376045
NK_CX3CR1	NKG7	5385	4.0230204	5360	99.535747
NK_CX3CR1	GZMA	5385	2.1052366	4460	82.822656
NK_CX3CR1	CD101	5385	0.0071724779	26	0.48282266
NK_CX3CR1	CXCR6	5385	0.012582234	43	0.79851439
NK_CX3CR1	CD69	5385	1.8510371	3912	72.64624
NK_CX3CR1	CX3CR1	5385	0.43468854	1348	25.032498
NK_CX3CR1	ITGAE	5385	0.21428729	743	13.797586
NK_CX3CR1	MT-ATP6	5385	2.2092528	4697	87.22377
NK_CX3CR1	MT-ND3	5385	1.5044999	3815	70.84494
NK_CX3CR1	ANXA1	5385	1.2003912	3134	58.1987
NK_CX3CR1	CCL5	5385	3.5291621	5145	95.543175
NK_CX3CR1	KLRB1	5385	1.0987905	2741	50.90065
NK_CX3CR1	MKI67	5385	0.011417121	44	0.81708449
NK_CX3CR1	RPL30	5385	3.4766994	5275	97.957289
T_IL7R	NCAM1	27242	0.00034598932	8	0.029366419
T_IL7R	FCER1G	27242	0.015492285	305	1.1195947
T_IL7R	KLRC1	27242	0.0039516211	71	0.26062697
T_IL7R	TYROBP	27242	0.020449839	391	1.4352838
T_IL7R	CD3E	27242	2.0279247	25090	92.100433
T_IL7R	CD4	27242	0.34831993	6739	24.737538
T_IL7R	TNFRSF4	27242	0.55214859	8561	31.42574
T_IL7R	CD8A	27242	0.14591171	1992	7.3122385
T_IL7R	CD8B	27242	0.10802227	1641	6.0237868
T_IL7R	FOXP3	27242	0.075755185	1257	4.6141987
T_IL7R	IKZF2	27242	0.055289689	989	3.6304236
T_IL7R	CCR7	27242	1.7180813	19737	72.450628
T_IL7R	SELL	27242	0.98234275	14252	52.316276
T_IL7R	TCF7	27242	0.90858729	15026	55.157477
T_IL7R	IL7R	27242	2.4823257	24717	90.731224
T_IL7R	PDCD1	27242	0.17221365	3036	11.144556
T_IL7R	HAVCR2	27242	0.013562651	272	0.99845826
T_IL7R	ENTPD1	27242	0.023360072	436	1.6004699
T_IL7R	TNFRSF9	27242	0.038550791	689	2.5291829
T_IL7R	CXCL13	27242	0.029997365	373	1.3692093
T_IL7R	CST7	27242	0.42865221	6966	25.57081
T_IL7R	GZMH	27242	0.011009607	188	0.69011086
T_IL7R	GZMK	27242	0.21244277	2710	9.9478746
T_IL7R	GZMM	27242	0.43944402	8307	30.493356
T_IL7R	IFNG	27242	0.036124293	562	2.062991
T_IL7R	PRF1	27242	0.072555191	1383	5.0767198
T_IL7R	KLRG1	27242	0.079341487	1614	5.9246751
T_IL7R	NKG7	27242	0.083040263	1442	5.2932971
T_IL7R	GZMA	27242	0.14101845	2243	8.2336099
T_IL7R	CD101	27242	0.015981418	322	1.1819984
T_IL7R	CXCR6	27242	0.066967011	1135	4.1663608
T_IL7R	CD69	27242	1.6908759	19522	71.661405
T_IL7R	CX3CR1	27242	0.00072920096	14	0.051391234
T_IL7R	ITGAE	27242	0.12020931	2392	8.7805594
T_IL7R	MT-ATP6	27242	2.1169395	24059	88.315836
T_IL7R	MT-ND3	27242	1.7154897	22009	80.790691
T_IL7R	ANXA1	27242	1.8006753	18656	68.48249
T_IL7R	CCL5	27242	0.40554643	4877	17.902503
T_IL7R	KLRB1	27242	0.56970677	8122	29.814257
T_IL7R	MKI67	27242	0.0053635791	106	0.38910506
T_IL7R	RPL30	27242	4.2616524	27233	99.966963
T_MKI67	NCAM1	11065	0.051717134	619	5.594216
T_MKI67	FCER1G	11065	0.14193828	977	8.829643
T_MKI67	KLRC1	11065	0.38274915	2526	22.828739
T_MKI67	TYROBP	11065	0.19647457	1274	11.513782
T_MKI67	CD3E	11065	1.9522071	9835	88.883868
T_MKI67	CD4	11065	0.25272754	2957	26.723904
T_MKI67	TNFRSF4	11065	0.59202616	3819	34.514234
T_MKI67	CD8A	11065	1.1022313	5398	48.784455
T_MKI67	CD8B	11065	0.62307493	4485	40.533213
T_MKI67	FOXP3	11065	0.32997589	2177	19.67465
T_MKI67	IKZF2	11065	0.29375382	2932	26.497967
T_MKI67	CCR7	11065	0.27072307	2367	21.391776
T_MKI67	SELL	11065	0.47058651	4083	36.900136
T_MKI67	TCF7	11065	0.10418809	1094	9.8870312
T_MKI67	IL7R	11065	0.45089275	3394	30.673294
T_MKI67	PDCD1	11065	0.55127213	5036	45.512878
T_MKI67	HAVCR2	11065	0.46029141	4607	41.635789
T_MKI67	ENTPD1	11065	0.83335751	6386	57.713511
T_MKI67	TNFRSF9	11065	0.57515121	4845	43.786715
T_MKI67	CXCL13	11065	1.1119657	4742	42.855852
T_MKI67	CST7	11065	1.0289619	7366	66.570267
T_MKI67	GZMH	11065	0.66689296	4472	40.415725
T_MKI67	GZMK	11065	0.33319085	2077	18.770899
T_MKI67	GZMM	11065	0.31817611	3873	35.002259
T_MKI67	IFNG	11065	0.54179702	3593	32.471758
T_MKI67	PRF1	11065	0.96219538	6528	58.996837
T_MKI67	KLRG1	11065	0.064303377	934	8.4410303
T_MKI67	NKG7	11065	1.697633	7345	66.380479
T_MKI67	GZMA	11065	1.8249263	7414	67.004067
T_MKI67	CD101	11065	0.12427075	1643	14.848622
T_MKI67	CXCR6	11065	0.65698383	5283	47.745142
T_MKI67	CD69	11065	1.2119628	7621	68.874831
T_MKI67	CX3CR1	11065	0.0089692838	135	1.2200633
T_MKI67	ITGAE	11065	0.94374577	7840	70.854044
T_MKI67	MT-ATP6	11065	2.2342931	10266	92.779033
T_MKI67	MT-ND3	11065	1.5601236	9408	85.024853
T_MKI67	ANXA1	11065	0.78752123	5200	46.995029
T_MKI67	CCL5	11065	1.9775869	7609	68.76638
T_MKI67	KLRB1	11065	0.34081129	2973	26.868504
T_MKI67	MKI67	11065	2.0201838	10083	91.125169
T_MKI67	RPL30	11065	2.8443151	10661	96.348848
T_Mito	NCAM1	16101	0.025446074	195	1.2111049
T_Mito	FCER1G	16101	0.037102516	262	1.6272281
T_Mito	KLRC1	16101	0.13837878	912	5.6642445
T_Mito	TYROBP	16101	0.065646995	450	2.7948575
T_Mito	CD3E	16101	1.5221001	9540	59.250978
T_Mito	CD4	16101	0.22586079	1667	10.353394
T_Mito	TNFRSF4	16101	0.42273598	2509	15.582883
T_Mito	CD8A	16101	0.79207526	4853	30.140985
T_Mito	CD8B	16101	0.40547173	2788	17.315695
T_Mito	FOXP3	16101	0.2134094	1430	8.8814359
T_Mito	IKZF2	16101	0.30423879	2071	12.862555
T_Mito	CCR7	16101	0.30593846	1933	12.005465
T_Mito	SELL	16101	0.31719357	2132	13.241414
T_Mito	TCF7	16101	0.21932047	1624	10.08633
T_Mito	IL7R	16101	1.4031469	7457	46.313894
T_Mito	PDCD1	16101	0.28557514	2050	12.732128
T_Mito	HAVCR2	16101	0.15853581	1126	6.9933545
T_Mito	ENTPD1	16101	0.31278722	2098	13.030247
T_Mito	TNFRSF9	16101	0.29107541	1921	11.930936
