"gene_symbol"	"immune_direction"	"gene_type"	"interaction_name"	"ligand"	"receptor"
"TIGIT"	"negative"	"receptor"	"PVR_TIGIT"	"PVR"	"TIGIT"
"TLR4"	"positive"	"receptor"	"RETN_TLR4"	"RETN"	"TLR4"
"SELPLG"	"negative"	"ligand"	"SELPLG_SELE"	"SELPLG"	"SELE"
"SELPLG"	"negative"	"ligand"	"SELPLG_SELL"	"SELPLG"	"SELL"
"SELP"	"positive"	"receptor"	"SELPLG_SELP"	"SELPLG"	"SELP"
"SELPLG"	"negative"	"ligand"	"SELPLG_SELP"	"SELPLG"	"SELP"
"TGFB1"	"negative"	"ligand"	"TGFB1_ACVR1_TGFBR1"	"TGFB1"	"TGFBR2, ACVR1, TGFBR1"
"TGFB1"	"negative"	"ligand"	"TGFB1_ACVR1B_TGFBR2"	"TGFB1"	"TGFBR2, ACVR1B"
"TGFB1"	"negative"	"ligand"	"TGFB1_ACVR1C_TGFBR2"	"TGFB1"	"TGFBR2, ACVR1C"
"TGFB1"	"negative"	"ligand"	"TGFB1_TGFBR1_TGFBR2"	"TGFB1"	"TGFBR2, TGFBR1"
"ITGB2"	"positive"	"receptor"	"THY1_ITGAM_ITGB2"	"THY1"	"ITGAM, ITGB2"
"ITGB2"	"positive"	"receptor"	"THY1_ITGAX_ITGB2"	"THY1"	"ITGAX, ITGB2"
"TIGIT"	"negative"	"ligand"	"TIGIT_NECTIN2"	"TIGIT"	"NECTIN2"
"TIGIT"	"negative"	"ligand"	"TIGIT_PVR"	"TIGIT"	"PVR"
"TNFRSF14"	"positive"	"receptor"	"TNFSF14_TNFRSF14"	"TNFSF14"	"TNFRSF14"
"TNFRSF18"	"positive"	"receptor"	"TNFSF18_TNFRSF18"	"TNFSF18"	"TNFRSF18"
"TNFRSF4"	"positive"	"receptor"	"TNFSF4_TNFRSF4"	"TNFSF4"	"TNFRSF4"
"TNFSF4"	"positive"	"ligand"	"TNFSF4_TNFRSF4"	"TNFSF4"	"TNFRSF4"
"TNFRSF9"	"positive"	"receptor"	"TNFSF9_TNFRSF9"	"TNFSF9"	"TNFRSF9"
"TNFSF9"	"positive"	"ligand"	"TNFSF9_TNFRSF9"	"TNFSF9"	"TNFRSF9"
"ITGB2"	"positive"	"receptor"	"VCAM1_INTEGRIN_ADB2"	"VCAM1"	"ITGAD, ITGB2"
"VEGFA"	"negative"	"ligand"	"VEGFA_VEGFR1"	"VEGFA"	"FLT1"
"VEGFA"	"negative"	"ligand"	"VEGFA_VEGFR1R2"	"VEGFA"	"FLT1, KDR"
"VEGFA"	"negative"	"ligand"	"VEGFA_VEGFR2"	"VEGFA"	"KDR"
"VEGFB"	"negative"	"ligand"	"VEGFB_VEGFR1"	"VEGFB"	"FLT1"
"VSIR"	"negative"	"ligand"	"VSIR_IGSF11"	"VSIR"	"IGSF11"
