sample	cx3cl1_exprs_unlog
P01-Baseline	8.809219937678584
P01-Treat	37.376333069177655
P02-Baseline	5.6255968134763785
P03-Baseline	1.6747682348580695
P03-Treat	5.3897716598989245
P04-Baseline	16.223337587672795
P04-Treat	12.991507305645728
P05-Baseline	2.870173893921087
P05-Treat	5.507774296369979
P06-Baseline	9.891824423879468
P07-Baseline	5.21663675943865
P07-Treat	10.965687516557429
P08-Baseline	3.5026529635323054
P08-Treat	46.02609685216859
P09-Baseline	3.3200310754908666
P09-Treat	10.393565325273787
P10-Baseline	3.367490203393714
P11-Baseline	2.7742294347495173
P12-Baseline	8.744932126209303
P12-Treat	11.16494518515556
P13-Baseline	2.247310854865813
P13-Treat	10.447349832143418
P14-Baseline	2.761845478539526
P15-Baseline	3.89781388280154
P15-Treat	59.27852655929143
P16-Baseline	3.2836176084280284
P17-Baseline	5.572914034795397
P17-Treat	42.40935969128257
P18-Baseline	2.3642745398856784
P19-Baseline	5.296585266978755
P20-Baseline	0.9047223490881237
P20-Treat	32.80725305555924
P21-Baseline	2.362126768565392
P21-Treat	21.3193508987936
P22-Baseline	9.793425701734835
P23-Baseline	3.8354707233066128
P24-Baseline	5.254694735761568
P24-Treat	13.024612748831741
P25-Baseline	4.720366609315856
P25-Treat	13.471849607969176
P26-Baseline	7.44900008366928
P26-Treat	14.869316190291014
P27-Baseline	6.321970105793767
P27-Treat	11.362020505320134
P28-Baseline	4.516714732543828
P28-Treat	14.397332562228295
P29-Baseline	2.427890470216146
P30-Baseline	9.417021971621898
P31-Baseline	0.1042808588625166
P32-Baseline	3.111716267107123
P33-Baseline	7.147502099337272
P33-Treat	20.73803588434948
P34-Baseline	4.810776584069922
P34-Treat	35.49292488486226
P35-Baseline	9.469783886419703
P36-Baseline	5.538250577046925
P37-Baseline	1.8950535359686222
P38-Treat	17.522584249043017
P39-Treat	51.74798139232642
P40-Baseline	3.8376548880757224
P40-Treat	1.8099672336638677
P41-Baseline	10.148861080546277
P41-Treat	30.70937734593569
P42-Treat	15.079865941269738
P43-Baseline	6.330207819166095
P43-Treat	25.434578464511397
P44-Baseline	4.00986134880772
P44-Treat	26.56042165945729
P45-Baseline	6.275364317384728
P45-Treat	9.09477596068818
P46-Baseline	17.040762067249073
P46-Treat	61.10872269092713
P47-Baseline	4.245583097693126
P47-Treat	23.46415606600234
P48-Baseline	5.168474090419313
P48-Treat	5.770136275875757
P49-Baseline	1.9014616655735261
P50-Baseline	5.14391185693959
P51-Baseline	1.8625219035486047
P51-Treat	15.81951417471113
P52-Baseline	2.6490739351905863
