edge_type,from,to,weight,start_cyto,start_exhau,end_cyto,end_exhau
CD4_CXCL13->CD4_KLRB1,CD4_CXCL13,CD4_KLRB1,0.03090758443183817,-0.16107968653210555,0.06118390525269737,0.0035640908930661,-0.17075183422928836
CD8_ANXA1->CD8_CCL5,CD8_ANXA1,CD8_CCL5,0.03462508887778199,0.44921694034885007,-0.2841561774317659,0.8427294084095255,-0.08285967262375184
CD8_ANXA1->CD8_FOS,CD8_ANXA1,CD8_FOS,0.01779375029542321,0.44921694034885007,-0.2841561774317659,0.3481401270001603,-0.2930697342203742
CD8_ANXA1->CD8_GZMK,CD8_ANXA1,CD8_GZMK,0.01489998581357165,0.44921694034885007,-0.2841561774317659,0.654850977444354,-0.2657534061837355
CD8_ANXA1->CD8_IFIT1,CD8_ANXA1,CD8_IFIT1,0.01101770394060825,0.44921694034885007,-0.2841561774317659,0.4444235689085628,-0.10561343311326596
CD8_CCL5->CD8_CX3CR1,CD8_CCL5,CD8_CX3CR1,0.01197428225921735,0.8427294084095255,-0.08285967262375184,0.9902034125668278,-0.3559573778319592
CD8_CCL5->CD8_CXCL13,CD8_CCL5,CD8_CXCL13,0.0399481608563853,0.8427294084095255,-0.08285967262375184,0.7809440965002276,0.5103815243038091
CD8_CCL5->CD8_FOS,CD8_CCL5,CD8_FOS,0.01583888742706583,0.8427294084095255,-0.08285967262375184,0.3481401270001603,-0.2930697342203742
CD8_CCL5->CD8_GZMK,CD8_CCL5,CD8_GZMK,0.03876893543023983,0.8427294084095255,-0.08285967262375184,0.654850977444354,-0.2657534061837355
CD8_CCL5->CD8_IFIT1,CD8_CCL5,CD8_IFIT1,0.02160433033842317,0.8427294084095255,-0.08285967262375184,0.4444235689085628,-0.10561343311326596
CD8_CCL5->CD8_TYMS,CD8_CCL5,CD8_TYMS,0.0218628773995605,0.8427294084095255,-0.08285967262375184,0.508437609318502,0.26732562597304077
CD8_CCL5->T_MKI67,CD8_CCL5,T_MKI67,0.02377685283158268,0.8427294084095255,-0.08285967262375184,0.3221173238475757,0.1120220195887803
CD8_CD74->CD8_CXCL13,CD8_CD74,CD8_CXCL13,0.01179988066183158,0.3063961428315547,-0.04903506344467154,0.7809440965002276,0.5103815243038091
CD8_CX3CR1->CD8_GZMK,CD8_CX3CR1,CD8_GZMK,0.01279345327729718,0.9902034125668278,-0.3559573778319592,0.654850977444354,-0.2657534061837355
CD8_CXCL13->CD8_IFIT1,CD8_CXCL13,CD8_IFIT1,0.0128312264923122,0.7809440965002276,0.5103815243038091,0.4444235689085628,-0.10561343311326596
CD8_CXCL13->CD8_TYMS,CD8_CXCL13,CD8_TYMS,0.06547445395873826,0.7809440965002276,0.5103815243038091,0.508437609318502,0.26732562597304077
CD8_CXCL13->T_Mito,CD8_CXCL13,T_Mito,0.01172749760145197,0.7809440965002276,0.5103815243038091,0.18471069273661125,-0.07486414163307066
CD8_CXCL13->T_MKI67,CD8_CXCL13,T_MKI67,0.05738366290788031,0.7809440965002276,0.5103815243038091,0.3221173238475757,0.1120220195887803
CD8_FOS->CD8_GZMK,CD8_FOS,CD8_GZMK,0.06628888287304241,0.3481401270001603,-0.2930697342203742,0.654850977444354,-0.2657534061837355
CD8_FOS->CD8_IFIT1,CD8_FOS,CD8_IFIT1,0.01285556979031985,0.3481401270001603,-0.2930697342203742,0.4444235689085628,-0.10561343311326596
CD8_GZMK->CD8_IFIT1,CD8_GZMK,CD8_IFIT1,0.0284284875677878,0.654850977444354,-0.2657534061837355,0.4444235689085628,-0.10561343311326596
CD8_GZMK->T_Mito,CD8_GZMK,T_Mito,0.01410626921870849,0.654850977444354,-0.2657534061837355,0.18471069273661125,-0.07486414163307066
CD8_TYMS->T_MKI67,CD8_TYMS,T_MKI67,0.03419655014176594,0.508437609318502,0.26732562597304077,0.3221173238475757,0.1120220195887803
T_MKI67->Treg_TNFRSF4,T_MKI67,Treg_TNFRSF4,0.01006414960085091,0.3221173238475757,0.1120220195887803,-0.16880027758080782,0.04258621822487454
Treg_LTB->Treg_TNFRSF4,Treg_LTB,Treg_TNFRSF4,0.02358660479880735,-0.2105662278285708,-0.2303522400175631,-0.16880027758080782,0.04258621822487454
