edge_type,from,to,weight,start_cyto,start_exhau,end_cyto,end_exhau
CD4_CXCL13->CD4_KLRB1,CD4_CXCL13,CD4_KLRB1,0.02268034883415238,-0.16107968653210555,0.06118390525269737,0.0035640908930661,-0.17075183422928836
CD4_KLRB1->CD8_TYMS,CD4_KLRB1,CD8_TYMS,0.0108759984428936,0.0035640908930661,-0.17075183422928836,0.508437609318502,0.26732562597304077
CD4_KLRB1->T_MKI67,CD4_KLRB1,T_MKI67,0.01374685612652118,0.0035640908930661,-0.17075183422928836,0.3221173238475757,0.1120220195887803
CD8_ANXA1->CD8_CCL5,CD8_ANXA1,CD8_CCL5,0.03259360053800177,0.44921694034885007,-0.2841561774317659,0.8427294084095255,-0.08285967262375184
CD8_ANXA1->CD8_CX3CR1,CD8_ANXA1,CD8_CX3CR1,0.01005312950277152,0.44921694034885007,-0.2841561774317659,0.9902034125668278,-0.3559573778319592
CD8_ANXA1->CD8_CXCL13,CD8_ANXA1,CD8_CXCL13,0.01440883759241547,0.44921694034885007,-0.2841561774317659,0.7809440965002276,0.5103815243038091
CD8_ANXA1->CD8_FOS,CD8_ANXA1,CD8_FOS,0.02082258429212612,0.44921694034885007,-0.2841561774317659,0.3481401270001603,-0.2930697342203742
CD8_ANXA1->CD8_GZMK,CD8_ANXA1,CD8_GZMK,0.01416651375481146,0.44921694034885007,-0.2841561774317659,0.654850977444354,-0.2657534061837355
CD8_ANXA1->CD8_IFIT1,CD8_ANXA1,CD8_IFIT1,0.01169468122379311,0.44921694034885007,-0.2841561774317659,0.4444235689085628,-0.10561343311326596
CD8_CCL5->CD8_CX3CR1,CD8_CCL5,CD8_CX3CR1,0.01506471606866848,0.8427294084095255,-0.08285967262375184,0.9902034125668278,-0.3559573778319592
CD8_CCL5->CD8_CXCL13,CD8_CCL5,CD8_CXCL13,0.03725909689007025,0.8427294084095255,-0.08285967262375184,0.7809440965002276,0.5103815243038091
CD8_CCL5->CD8_FOS,CD8_CCL5,CD8_FOS,0.01732095756029539,0.8427294084095255,-0.08285967262375184,0.3481401270001603,-0.2930697342203742
CD8_CCL5->CD8_GZMK,CD8_CCL5,CD8_GZMK,0.03291483374797195,0.8427294084095255,-0.08285967262375184,0.654850977444354,-0.2657534061837355
CD8_CCL5->CD8_IFIT1,CD8_CCL5,CD8_IFIT1,0.01548910800131008,0.8427294084095255,-0.08285967262375184,0.4444235689085628,-0.10561343311326596
CD8_CCL5->CD8_TYMS,CD8_CCL5,CD8_TYMS,0.02572344683271362,0.8427294084095255,-0.08285967262375184,0.508437609318502,0.26732562597304077
CD8_CCL5->T_Mito,CD8_CCL5,T_Mito,0.01115497114091307,0.8427294084095255,-0.08285967262375184,0.18471069273661125,-0.07486414163307066
CD8_CCL5->T_MKI67,CD8_CCL5,T_MKI67,0.02254340786111799,0.8427294084095255,-0.08285967262375184,0.3221173238475757,0.1120220195887803
CD8_CD74->CD8_CXCL13,CD8_CD74,CD8_CXCL13,0.01007730365337974,0.3063961428315547,-0.04903506344467154,0.7809440965002276,0.5103815243038091
CD8_CX3CR1->CD8_FOS,CD8_CX3CR1,CD8_FOS,0.0173017685305151,0.9902034125668278,-0.3559573778319592,0.3481401270001603,-0.2930697342203742
CD8_CX3CR1->CD8_GZMK,CD8_CX3CR1,CD8_GZMK,0.01479164785031512,0.9902034125668278,-0.3559573778319592,0.654850977444354,-0.2657534061837355
CD8_CXCL13->CD8_TYMS,CD8_CXCL13,CD8_TYMS,0.06242740683083703,0.7809440965002276,0.5103815243038091,0.508437609318502,0.26732562597304077
CD8_CXCL13->T_Mito,CD8_CXCL13,T_Mito,0.01472899095966001,0.7809440965002276,0.5103815243038091,0.18471069273661125,-0.07486414163307066
CD8_CXCL13->T_MKI67,CD8_CXCL13,T_MKI67,0.04911888945711486,0.7809440965002276,0.5103815243038091,0.3221173238475757,0.1120220195887803
CD8_FOS->CD8_GZMK,CD8_FOS,CD8_GZMK,0.06886037038604598,0.3481401270001603,-0.2930697342203742,0.654850977444354,-0.2657534061837355
CD8_FOS->CD8_IFIT1,CD8_FOS,CD8_IFIT1,0.01394264290338688,0.3481401270001603,-0.2930697342203742,0.4444235689085628,-0.10561343311326596
CD8_GZMK->CD8_IFIT1,CD8_GZMK,CD8_IFIT1,0.02074487167184687,0.654850977444354,-0.2657534061837355,0.4444235689085628,-0.10561343311326596
CD8_GZMK->T_Mito,CD8_GZMK,T_Mito,0.01612538277995225,0.654850977444354,-0.2657534061837355,0.18471069273661125,-0.07486414163307066
CD8_TYMS->T_MKI67,CD8_TYMS,T_MKI67,0.03189584295673826,0.508437609318502,0.26732562597304077,0.3221173238475757,0.1120220195887803
T_MKI67->Treg_TNFRSF4,T_MKI67,Treg_TNFRSF4,0.01142639149556327,0.3221173238475757,0.1120220195887803,-0.16880027758080782,0.04258621822487454
Treg_LTB->Treg_TNFRSF4,Treg_LTB,Treg_TNFRSF4,0.02734477087507145,-0.2105662278285708,-0.2303522400175631,-0.16880027758080782,0.04258621822487454
