response	sample_type	clone_cat	celltype	n_cell	n_cell_total	cell_proportion	response_stype
NR	post	Expanded clones in cytotoxic clusters	CD8_CXCL13	3638	9948	0.3657016485725774	NR-post
NR	post	Expanded clones in cytotoxic clusters	CD8_TYMS	897	9948	0.09016887816646563	NR-post
NR	post	Expanded clones in cytotoxic clusters	T_MKI67	716	9948	0.07197426618415761	NR-post
NR	post	Expanded clones in cytotoxic clusters	Treg_TNFRSF4	7	9948	7.036590269400884e-4	NR-post
NR	post	Expanded clones in cytotoxic clusters	T_Mito	493	9948	0.04955770004020909	NR-post
NR	post	Expanded clones in cytotoxic clusters	CD4_KLRB1	287	9948	0.028850020104543628	NR-post
NR	post	Expanded clones in cytotoxic clusters	CD8_CD74	85	9948	0.00854443104141536	NR-post
NR	post	Expanded clones in cytotoxic clusters	CD8_IFIT1	167	9948	0.016787293928427826	NR-post
NR	post	Expanded clones in cytotoxic clusters	T_IL7R	12	9948	0.0012062726176115801	NR-post
NR	post	Expanded clones in cytotoxic clusters	T_Ribo	353	9948	0.03548451950140732	NR-post
NR	post	Expanded clones in cytotoxic clusters	Treg_LTB	3	9948	3.0156815440289503e-4	NR-post
R	pre	Expanded clones in exhausted clusters	CD8_ANXA1	69	749	0.09212283044058744	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_CCL5	252	749	0.3364485981308411	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_CX3CR1	30	749	0.04005340453938585	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_FOS	40	749	0.0534045393858478	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_GZMK	92	749	0.12283044058744993	R-pre
R	pre	Expanded clones in exhausted clusters	CD4_CXCL13	5	749	0.006675567423230975	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_CXCL13	86	749	0.11481975967957277	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_TYMS	33	749	0.044058744993324434	R-pre
R	pre	Expanded clones in exhausted clusters	T_MKI67	37	749	0.049399198931909215	R-pre
R	pre	Expanded clones in exhausted clusters	Treg_TNFRSF4	18	749	0.02403204272363151	R-pre
R	pre	Expanded clones in exhausted clusters	T_Mito	13	749	0.017356475300400534	R-pre
R	pre	Expanded clones in exhausted clusters	CD4_KLRB1	19	749	0.025367156208277702	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_CD74	10	749	0.01335113484646195	R-pre
R	pre	Expanded clones in exhausted clusters	CD8_IFIT1	37	749	0.049399198931909215	R-pre
R	pre	Expanded clones in exhausted clusters	T_IL7R	2	749	0.0026702269692923898	R-pre
R	pre	Expanded clones in exhausted clusters	T_Ribo	3	749	0.004005340453938585	R-pre
R	pre	Expanded clones in exhausted clusters	Treg_LTB	3	749	0.004005340453938585	R-pre
R	post	Expanded clones in exhausted clusters	CD8_ANXA1	273	2902	0.09407305306685045	R-post
R	post	Expanded clones in exhausted clusters	CD8_CCL5	458	2902	0.1578221915920055	R-post
R	post	Expanded clones in exhausted clusters	CD8_CX3CR1	48	2902	0.016540317022742935	R-post
R	post	Expanded clones in exhausted clusters	CD8_FOS	298	2902	0.10268780151619572	R-post
R	post	Expanded clones in exhausted clusters	CD8_GZMK	396	2902	0.13645761543762921	R-post
R	post	Expanded clones in exhausted clusters	CD4_CXCL13	61	2902	0.02101998621640248	R-post
R	post	Expanded clones in exhausted clusters	CD8_CXCL13	512	2902	0.17643004824259131	R-post
R	post	Expanded clones in exhausted clusters	CD8_TYMS	35	2902	0.012060647829083391	R-post
R	post	Expanded clones in exhausted clusters	T_MKI67	38	2902	0.013094417643004824	R-post
R	post	Expanded clones in exhausted clusters	Treg_TNFRSF4	152	2902	0.052377670572019294	R-post
R	post	Expanded clones in exhausted clusters	T_Mito	137	2902	0.04720882150241213	R-post
R	post	Expanded clones in exhausted clusters	CD4_KLRB1	277	2902	0.0954514128187457	R-post
R	post	Expanded clones in exhausted clusters	CD8_CD74	28	2902	0.009648518263266712	R-post
R	post	Expanded clones in exhausted clusters	CD8_IFIT1	8	2902	0.0027567195037904893	R-post
R	post	Expanded clones in exhausted clusters	T_IL7R	23	2902	0.007925568573397657	R-post
R	post	Expanded clones in exhausted clusters	T_Ribo	132	2902	0.04548587181254307	R-post
R	post	Expanded clones in exhausted clusters	Treg_LTB	26	2902	0.00895933838731909	R-post
NR	pre	Expanded clones in exhausted clusters	CD8_ANXA1	50	1809	0.027639579878385848	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_CCL5	100	1809	0.055279159756771695	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_CX3CR1	42	1809	0.02321724709784411	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_FOS	54	1809	0.029850746268656716	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_GZMK	59	1809	0.0326147042564953	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_KLRB1	7	1809	0.003869541182974019	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD4_CXCL13	25	1809	0.013819789939192924	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_CXCL13	1029	1809	0.5688225538971807	NR-pre
NR	pre	Expanded clones in exhausted clusters	CD8_TYMS	133	1809	0.07352128247650636	NR-pre
NR	pre	Expanded clones in exhausted clusters	T_MKI67	103	1809	0.056937534549474846	NR-pre
