node	exhau	cyto	node_type
CD4_CXCL13	0.06118390525269737	-0.16107968653210555	exhausted
CD4_KLRB1	-0.17075183422928836	0.0035640908930661	others
CD8_ANXA1	-0.2841561774317659	0.44921694034885007	cytotoxic
CD8_CCL5	-0.08285967262375184	0.8427294084095255	cytotoxic
CD8_CD74	-0.04903506344467154	0.3063961428315547	others
CD8_CX3CR1	-0.3559573778319592	0.9902034125668278	cytotoxic
CD8_CXCL13	0.5103815243038091	0.7809440965002276	exhausted
CD8_FOS	-0.2930697342203742	0.3481401270001603	cytotoxic
CD8_GZMK	-0.2657534061837355	0.654850977444354	cytotoxic
CD8_IFIT1	-0.10561343311326596	0.4444235689085628	others
CD8_KLRB1	-0.03592609919309145	0.6542803580926516	cytotoxic
CD8_TYMS	0.26732562597304077	0.508437609318502	exhausted
T_IL7R	-0.40550003878945656	-0.1912280916744112	others
T_Mito	-0.07486414163307066	0.18471069273661125	dying
T_MKI67	0.1120220195887803	0.3221173238475757	exhausted
T_Ribo	-0.1925387180772601	0.23379748203423675	others
Treg_LTB	-0.2303522400175631	-0.2105662278285708	others
Treg_TNFRSF4	0.04258621822487454	-0.16880027758080782	exhausted
